Rk,Season,Lg,GP,G,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
90,1933-34,NHL,216,2.41,0.38,,,,,,,2.30
91,1932-33,NHL,216,2.28,,,,,,,,2.18
92,1931-32,NHL,192,2.49,,,,,,,,2.36
93,1930-31,NHL,220,2.40,,,,,,,,2.31
94,1929-30,NHL,220,2.96,,,,,,,,2.85
95,1928-29,NHL,220,1.46,,,,,,,,1.39
96,1927-28,NHL,220,1.90,,,,,,,,1.83
97,1926-27,NHL,220,2.00,,,,,,,,1.91
98,1925-26,NHL,126,2.31,,,,,,,,2.22
99,1924-25,NHL,90,2.50,,,,,,,,2.45
100,1923-24,NHL,48,2.66,,,,,,,,2.61
101,1922-23,NHL,48,3.26,,,,,,,,3.17
102,1921-22,NHL,48,3.96,,,,,,,,3.88
103,1920-21,NHL,48,4.23,,,,,,,,4.19
104,1919-20,NHL,48,4.79,,,,,,,,4.70
105,1918-19,NHL,27,4.13,,,,,,,,4.05
106,1917-18,NHL,36,4.75,,,,,,,,4.98
